### all pods
NAMESPACE                               NAME                                                              READY   STATUS                   RESTARTS        AGE    IP              NODE                                    NOMINATED NODE   READINESS GATES
runai-backend                           runai-backend-org-unit-helper-5458dffb65-zg6hl                    1/1     Running                  2 (150m ago)    11h    192.168.0.24    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-org-unit-service-75b85659c4-ljp4q                   1/1     Running                  3 (144m ago)    11h    192.168.0.126   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-org-units-migrator-md4m9                            0/1     Completed                0               10h    <none>          edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-policy-service-7b69856c44-j4jb4                     1/1     Running                  1 (150m ago)    11h    192.168.0.124   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-postgresql-0                                        1/1     Running                  0               145m   192.168.0.68    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-redoc-697f55dcf4-7sxn4                              1/1     Running                  1 (150m ago)    11h    192.168.0.121   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-settings-migrator-xpx7b                             0/1     Completed                0               10h    <none>          edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-tenants-manager-5564fff674-7nrvh                    2/2     Running                  2 (150m ago)    11h    192.168.0.30    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-thanos-query-684d675fd8-cxfph                       1/1     Running                  1 (150m ago)    11h    192.168.0.117   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-thanos-receive-0                                    1/1     Running                  0               145m   192.168.0.62    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-traefik-76f9d744b8-jjgzk                            1/1     Running                  2 (150m ago)    11h    192.168.0.225   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-workloads-85dc99d677-zww5d                          1/1     Running                  1 (150m ago)    11h    192.168.0.90    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-workloads-helper-c545b8599-f62xh                    1/1     Running                  1 (150m ago)    11h    192.168.0.6     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-workloads-manager-7547dbbf9b-hfhwx                  1/1     Running                  1 (150m ago)    11h    192.168.0.31    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   accessrule-controller-76f546b8c8-kgcng                            1/1     Running                  0               44m    192.168.0.9     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   application-controller-57b84f978d-xc6zn                           1/1     Running                  0               89m    192.168.0.204   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai                                   assets-sync-5465d556bd-pzn9l                                      1/1     Running                  0               89m    192.168.0.154   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
